,0
0,Arunachal Pradesh
1,Bihar
2,Chhattisgarh
3,Himachal Pradesh
4,Jammu and Kashmir
5,Maharashtra
6,Manipur
7,Meghalaya
8,Mizoram
9,Nagaland
10,Odisha
11,Punjab
12,Rajasthan
13,Sikkim
14,Tripura
15,Uttar Pradesh
16,Uttarakhand
17,West Bengal
